theta_x,theta_y,motor velocity_x,motor velocity_y
84.1734099388,-2.8846,84.1734464169,1.7
84.2226500511,-2.8876,84.2226948738,4.18
84.275854826,-2.8846,84.2758827209,6.05
84.3250906467,-2.8861,84.3251478672,8.54
84.3742496967,-2.8861,84.3743081093,11.15
84.4275281429,-2.8876,84.4275696278,11.96
84.4866423607,-2.8892,84.4866669178,14.39
84.533210516,-2.8861,84.5332467556,14.23
84.5793035030,-2.8876,84.5793278217,12.84
84.6941409111,-2.8876,84.6941747665,13.76
84.6944215298,-2.8861,84.6944291592,13.61
84.7346613407,-2.8876,84.7346925735,15.24
84.7838270664,-2.8892,84.7838578224,15.2
84.8371157646,-2.8876,84.8371536732,16.3
84.8861825466,-2.8876,84.8862268925,18.06
84.9395129681,-2.8861,84.9395678043,20.59
84.9886453152,-2.8876,84.988683939,23.86
85.0441780090,-2.883,85.0442085266,27.51
85.0927910805,-2.8861,85.0928199291,29.37
85.1502521038,-2.8846,85.1502804756,30.82
85.1948034763,-2.8861,85.1948308945,32.82
85.2435047626,-2.8846,85.2435367107,31.51
85.2963879108,-2.8846,85.2964060307,30.86
85.3449602127,-2.8846,85.3449838161,29.85
85.3941202164,-2.883,85.3941559792,31.01
85.4474344254,-2.883,85.4474852085,32.15
85.4964053631,-2.8815,85.4964323044,30.36
85.5457155704,-2.8815,85.5457646847,29.91
85.5989480019,-2.8846,85.5989971161,33.12
85.6480739117,-2.883,85.6481020451,31.16
85.697273016,-2.883,85.6973078251,29.85
85.7516956329,-2.8846,85.7517797947,33.15
85.8047571182,-2.8846,85.8047869205,30.97
85.8573963642,-2.883,85.8574147224,32.46
85.9039976597,-2.883,85.90402174,31.96
85.9552037716,-2.883,85.9552435875,32.94
86.0043776035,-2.883,86.0044202805,31.66
86.0534830093,-2.8846,86.0535244942,30.89
86.1026482582,-2.8846,86.1026833057,30.01
86.1559669971,-2.8861,86.1559991837,29.83
86.2050495148,-2.8846,86.2050988674,26.78
86.258389473,-2.8846,86.2584626675,22.36
86.3075187206,-2.8861,86.3075973988,21.4
86.3570652008,-2.8846,86.3571112156,22.41
86.4155921936,-2.8876,86.4156265259,21.54
86.4640333652,-2.8861,86.4640562534,21.07
86.5081124306,-2.8892,86.5081548691,19.97
86.5572252274,-2.8907,86.5572454929,20.71
86.6104099751,-2.8938,86.6104443073,19.32
86.6596772671,-2.8922,86.6597146988,17.75
86.7128710747,-2.8968,86.7128987312,16.81
86.7619450092,-2.8953,86.7619915009,14.43
86.8153574467,-2.8999,86.8154015541,10.53
86.8684375286,-2.8999,86.8685216904,7.61
86.9176428318,-2.903,86.9176688194,4.57
86.9731810093,-2.9045,86.9732058048,1.67
87.0242629051,-2.906,87.0242848396,-4.07
87.0701665878,-2.9106,87.0701863766,-9.04
87.1210649014,-2.9122,87.1211023331,-11.7
87.1715943813,-2.9168,87.1716299057,-13.84
87.2207510471,-2.9183,87.2207872868,-14.54
87.2698683739,-2.9198,87.2698969841,-15.23
87.3191001415,-2.9214,87.3191318512,-16.46
87.3722474575,-2.926,87.3722853661,-17.14
87.4214823246,-2.926,87.4215278625,-17.02
87.4706702232,-2.926,87.4707212448,-15.5
87.5197954178,-2.929,87.5198276043,-16.17
87.5730514526,-2.9275,87.5731194019,-14.37
87.6222486496,-2.9321,87.6223094463,-13.75
87.67507267,-2.9352,87.6750876904,-13.54
87.7243208885,-2.9367,87.7243492603,-14.57
87.7724833488,-2.9367,87.7725014687,-13.11
87.8227398396,-2.9398,87.8227767944,-14.4
87.8720140457,-2.9398,87.872055769,-15.3
87.9211192131,-2.9413,87.9211606979,-18.65
87.9702754021,-2.9459,87.9703009129,-19.9
88.0235702991,-2.9475,88.0236222744,-21.81
88.0726521015,-2.949,88.07269907,-22.97
88.125856638,-2.9475,88.1259064674,-24.68
88.1750335693,-2.9505,88.175082922,-24.48
88.2243354321,-2.9536,88.2243938446,-21.5
88.2735323906,-2.9551,88.2736151218,-23.19
88.3227350712,-2.9536,88.3227763176,-21.04
88.3823182583,-2.9567,88.3823473454,-22.02
88.4298524857,-2.9551,88.4298934937,-22.17
88.4769408703,-2.9567,88.4769566059,-22.04
88.5273749828,-2.9567,88.5274105072,-19.48
88.5763423443,-2.9582,88.5763788223,-21.89
88.6295962334,-2.9551,88.6296303272,-20.14
88.6787931919,-2.9551,88.6788415909,-22.12
88.7279009819,-2.9567,88.7279543877,-21.76
88.7772200108,-2.9582,88.7772493362,-21.61
88.826363802,-2.9567,88.8264062405,-21.17
88.8796019554,-2.9536,88.8796339035,-19.99
88.9286429882,-2.9536,88.9286990166,-19.67
88.9777591228,-2.9521,88.9777884483,-19.08
89.0347335339,-2.9505,89.0347619057,-20.75
89.0802657604,-2.9505,89.0802979469,-18.85
89.1292526722,-2.949,89.1292977333,-19.04
89.1784663200,-2.9505,89.1785047054,-17.23
89.2317492962,-2.9505,89.2317829132,-18.03
89.2809426785,-2.9475,89.2809762955,-16.95
89.3300864697,-2.949,89.3301320076,-17.76
89.3833830357,-2.949,89.3834314346,-19.85
89.432500124,-2.949,89.4325444698,-16.95
89.4816901684,-2.9475,89.4817221165,-19.38
89.5308613777,-2.9475,89.5309259892,-21.4
89.5840685368,-2.949,89.5840923786,-21.5
89.6339359283,-2.949,89.6340003014,-23.71
89.6862452030,-2.9475,89.686273098,-25.33
89.7347004414,-2.9475,89.7347335815,-23.41
89.7846038342,-2.949,89.784621954,-23.41
89.8337774277,-2.949,89.8338088989,-23.03
89.8829813004,-2.9505,89.8830256462,-23.22
89.9361786842,-2.949,89.9362008572,-24.74
89.9853537083,-2.949,89.9853947163,-23.59
90.0346212387,-2.949,90.0346500874,-24.14
90.0877840519,-2.9475,90.0878221989,-21.86
90.1371657848,-2.949,90.1372439861,-20.57
90.1861891747,-2.9475,90.1862444878,-18.9
90.2353558540,-2.9444,90.2353792191,-16.28
90.2885539532,-2.9459,90.2885992527,-8.88
90.3420858383,-2.9413,90.3421108723,2.57
90.3911461830,-2.9444,90.3912632465,5.11
90.4401535988,-2.9413,90.4402246475,7.49
90.4923601151,-2.9413,90.4923903942,11.28
90.5384411812,-2.9383,90.5384614468,14.55
90.5916311741,-2.9383,90.5916728973,19.6
90.6407814026,-2.9352,90.6408033371,21.87
90.6940269470,-2.9352,90.6940553188,20.45
90.743070364,-2.9352,90.7431075573,20.27
90.7922585011,-2.9321,90.7922976017,21.35
90.8439292908,-2.9275,90.8439502716,19.54
90.8945162296,-2.929,90.8945467472,23.29
90.9438588619,-2.926,90.9439074993,25.36
90.9932141304,-2.9244,90.9933283329,25.85
91.0422866344,-2.9244,91.0423676968,27.45
91.0958662033,-2.9214,91.0960242748,25.85
91.1490848064,-2.9183,91.1491405964,24.29
91.1980106831,-2.9152,91.1980292797,26.13
91.2467291355,-2.9168,91.2467699051,22.78
91.2960219383,-2.9137,91.2960543633,22.21
91.3451063633,-2.9091,91.3451297283,24.02
91.3984613419,-2.9076,91.3984942436,25.97
91.4476034641,-2.9076,91.4476430416,28.35
91.5008671284,-2.903,91.5008993149,31.09
91.5499992371,-2.903,91.5500359535,31.02
91.603274107,-2.8984,91.6033358574,29.57
91.6562387943,-2.8968,91.6562583447,30.95
91.7109396458,-2.8938,91.7109565735,32.31
91.7584478855,-2.8907,91.7584767342,31.12
91.8044497967,-2.8907,91.8044862747,32.1
91.8530175686,-2.8892,91.8530514240,30.16
91.9062335491,-2.8861,91.9062669277,32.38
91.9554240704,-2.8846,91.9554598331,30.37
92.0086796284,-2.8846,92.0087168217,30.51
92.0578255653,-2.883,92.0578603745,31.02
92.1068572998,-2.8815,92.1068980694,31.26
92.1560354233,-2.88,92.1560778618,30.74
92.2093200684,-2.88,92.2093679905,30.93
92.2624447346,-2.88,92.2624747753,33.41
92.3116323948,-2.88,92.3116843700,31.45
92.3663082123,-2.8784,92.3663372993,31.09
92.4125516415,-2.8769,92.4125795364,32.67
92.4641141891,-2.8784,92.4641504288,32.73
92.5124619007,-2.8784,92.5125045776,30.16
92.5656936169,-2.8769,92.5657315254,29.23
92.6148593426,-2.8784,92.6149065495,28.44
92.6640141010,-2.8769,92.6640551090,28.57
92.7171897888,-2.8784,92.7172269821,28.19
92.7663915157,-2.88,92.7664365768,28.47
92.8194482327,-2.88,92.8194885254,25.9
92.8689031601,-2.88,92.8689379692,25.17
92.9181509018,-2.8784,92.9182171822,26.81
92.9712197781,-2.8784,92.9712412357,29.1
93.0245645046,-2.8754,93.0245926380,28.98
93.0714459419,-2.88,93.0714805126,30.89
93.1187875271,-2.8784,93.118817091,29.96
93.1718888283,-2.88,93.1719267368,31.02
93.2210423946,-2.8784,93.2210803032,29.96
93.2742667198,-2.88,93.2742979527,30.51
93.3233687878,-2.8815,93.323415041,30.89
93.3764941692,-2.883,93.3765296936,31.68
93.4258790016,-2.883,93.425921917,29.89
93.4750299454,-2.8815,93.4750750065,27.94
93.5242567062,-2.883,93.5243039131,28.19
93.5773899555,-2.8815,93.5774276257,27.52
93.6322500706,-2.8815,93.6322748661,27.5
93.6789624691,-2.8784,93.6789867878,26.03
93.7255241871,-2.8815,93.725543499,25.62
93.7779145241,-2.8784,93.7779400349,26.72
93.8272101879,-2.8784,93.8272411823,23.97
93.8804404736,-2.8754,93.8804831505,23.11
93.9296448231,-2.8784,93.9296841621,20.75
93.9827289581,-2.8769,93.9827780724,18.14
94.0318834782,-2.8769,94.0319199562,13.76
94.0852251053,-2.8769,94.0852649212,9.48
94.134339571,-2.8754,94.1343894005,5.99
94.1874890327,-2.8784,94.1875169277,1.67
94.238601923,-2.8754,94.2386198044,-2.61
94.2862834930,-2.8754,94.2863116264,-6.3
94.3349633217,-2.8754,94.3350014687,-6.45
94.3841350079,-2.8754,94.3841743469,-8.06
94.4373993874,-2.8738,94.4374482632,-11.65
94.4865572453,-2.8769,94.486594677,-17.75
94.5398354530,-2.8769,94.5398693085,-21.35
94.58903265,-2.8815,94.5890738964,-24.02
94.6382448673,-2.8784,94.6382899284,-26.82
94.6874551773,-2.8815,94.6875061989,-27.97
94.7406358719,-2.88,94.7407040596,-27.22
94.7930781841,-2.8784,94.7931246758,-28.34
94.8452751637,-2.8784,94.8453080654,-26.45
94.8909261227,-2.8815,94.8909420967,-25.13
94.9375040531,-2.88,94.9375343323,-20.46
94.9903888702,-2.8815,94.9904320240,-17.75
95.0396370888,-2.88,95.0396835804,-11.24
95.0886745453,-2.883,95.0887112617,2.56
95.1378188133,-2.8815,95.137850523,8.24
95.1911609173,-2.8846,95.1912097931,14.07
95.2401587963,-2.8815,95.2402055264,18.67
95.2893967628,-2.8861,95.2894470692,22.16
95.3428275585,-2.8861,95.3428969383,20.68
95.3919460773,-2.8861,95.392023325,21.77
95.4409444332,-2.8892,95.4409942627,19.82
95.4941031933,-2.8907,95.4941761494,17.72
95.5441877842,-2.8892,95.5442893505,16.94
95.5926623344,-2.8922,95.5926995277,15.22
95.6457078457,-2.8922,95.6457500458,14.72
95.6949710846,-2.8938,95.6949956417,12.87
95.7439899445,-2.8922,95.7440309525,12.84
95.7972390652,-2.8922,95.7972736359,12.01
95.8463466167,-2.8938,95.8464090824,9.4
95.8996253014,-2.8953,95.8996694088,8.58
95.9487173557,-2.8953,95.9487440586,8.54
96.0019140244,-2.8938,96.0019490719,8.36
96.0512135029,-2.8968,96.0512609482,9.29
96.1004641056,-2.8984,96.1005051136,9.23
96.1585330963,-2.8968,96.1585676670,10.07
96.2030818462,-2.8984,96.2031159401,10.8
96.2517402172,-2.8968,96.2517595291,11.98
96.3009135723,-2.8984,96.3009541035,13.31
96.3542680740,-2.8999,96.3543009758,12.9
96.4034326077,-2.9014,96.4034748077,14.49
96.4565885067,-2.9014,96.4566338062,13.76
96.5073530674,-2.906,96.5073709488,13.73
96.5590302944,-2.9045,96.5590643883,14.55
96.6081690788,-2.906,96.6082007885,15.48
96.6614446640,-2.9091,96.6614980698,17.2
96.7106182575,-2.9091,96.7106609344,18.87
