times,theta
19.2,281.5113534
19.3,281.9525309
19.3,281.6030267
19.4,281.6030267
19.4,281.6030267
19.5,281.6030267
19.5,281.5113534
19.5,281.3394661
19.6,282.5655958
19.7,281.6889704
19.7,282.3937084
19.7,280.7206717
19.8,282.657269
19.8,280.5487843
19.9,282.5655958
19.9,280.5487843
20.0,282.9208296
20.0,281.0759055
20.1,281.9525309
20.1,281.0759055
20.2,282.2160915
20.2,281.3394661
20.3,280.7206717
20.3,281.3394661
20.4,280.4571111
20.4,281.6030267
20.4,281.0759055
20.5,283.0067733
20.5,280.4571111
20.6,282.4796521
20.6,280.9842323
20.7,282.3937084
20.7,281.4254098
20.8,281.8665873
20.8,282.7432127
20.9,281.6889704
20.9,283.2703339
21.0,283.6255677
21.0,284.7657537
21.1,288.7191625
21.1,292.6783009
21.2,295.9269716
21.2,300.5851184
21.2,304.6302005
21.3,308.3200487
21.3,311.3108884
21.4,313.5053167
21.4,314.0324379
21.5,313.0641392
21.5,310.6061503
21.6,307.35175
21.6,303.2207243
21.7,299.0037549
21.7,294.6091686
21.8,290.4781429
21.8,285.997613
21.9,282.0384746
21.9,279.5804857
21.9,281.4254098
22.0,282.834886
22.0,281.3394661
22.1,282.1301479
22.1,281.8665873
22.2,280.1076068
22.2,282.0384746
22.3,281.0759055
22.3,281.9525309
22.4,281.6889704
22.4,280.1935505
22.5,282.4796521
22.5,281.6889704
22.6,282.3937084
22.6,282.1301479
22.7,281.0759055
22.7,282.3937084
22.7,281.774914
22.8,280.9842323
22.8,282.4796521
22.9,282.1301479
22.9,280.1935505
23.0,282.4796521
23.0,281.6030267
23.1,281.8665873
23.1,282.4796521
23.2,281.1618492
23.2,282.5655958
23.3,281.6889704
23.3,281.6889704
23.4,281.6889704
23.4,281.1618492
23.5,282.834886
23.5,281.1618492
23.5,281.4254098
23.6,281.4254098
23.6,280.8982886
23.7,280.8123449
23.7,282.5655958
23.8,281.4254098
23.8,282.7432127
23.9,282.9208296
23.9,280.8123449
24.0,282.5655958
24.0,280.4571111
24.1,281.0759055
24.1,282.7432127
24.2,282.9208296
24.2,280.3711674
24.2,281.2477929
24.3,282.5655958
24.3,281.774914
24.4,280.1076068
24.4,282.1301479
24.5,281.1618492
24.5,282.0384746
24.6,282.3020352
24.6,280.9842323
24.7,282.5655958
24.7,281.774914
24.8,281.0759055
24.8,282.5655958
24.9,279.1393082
24.9,277.2943841
25.0,274.131657
25.0,271.0548737
25.0,270.6136962
25.1,261.8245236
25.1,257.0804331
25.2,252.2446693
25.2,248.2053168
25.3,244.0742911
25.3,241.347012
25.4,239.9432654
25.4,240.5563303
25.5,243.9826179
25.5,248.4688774
25.6,254.6167145
25.6,259.2748614
25.6,265.2565408
25.7,269.3875665
25.7,273.9540401
25.8,278.3486264
25.8,281.9525309
25.9,284.1526889
25.9,281.6030267
26.0,280.1935505
26.0,282.9208296
26.1,283.4479508
26.1,281.4254098
26.2,280.2852238
26.2,282.9208296
26.3,282.657269
26.3,280.7206717
26.3,281.774914
26.4,282.9208296
26.4,280.9842323
26.5,282.3020352
26.5,281.2477929
26.6,282.7432127
26.7,281.6889704
26.7,281.1618492
26.7,283.0067733
