header_update,time,theta
27:58.9,280.8123449,-1.69
27:58.9,280.9842323,-25.13
27:59.0,282.0384746,-25.13
27:59.0,279.7581026,-3.74
27:59.1,280.2852238,-4.61
27:59.1,281.3394661,-21.51
27:59.2,283.2703339,-32.58
27:59.2,280.8982886,0.92
27:59.3,281.1618492,-11.01
27:59.3,281.8665873,-29.79
27:59.3,280.8982886,-2.83
27:59.4,279.1393082,-7.61
27:59.4,281.8665873,-27.67
27:59.5,281.8665873,-26.32
27:59.5,280.2852238,12.91
27:59.6,280.2852238,-17.08
27:59.6,280.1935505,-17.08
27:59.7,281.9525309,-28.76
27:59.7,280.8982886,10.25
27:59.8,279.0533645,10.25
27:59.8,280.7206717,-22.26
27:59.9,282.0384746,-28.38
27:59.9,280.9842323,-12.84
28:00.0,278.5262433,-3.68
28:00.0,279.9299899,-22.34
28:00.1,281.1618492,-29.07
28:00.1,281.9525309,-19.36
28:00.2,280.8982886,-18.48
28:00.2,281.774914,-24.5
28:00.2,281.6889704,-9.42
28:00.3,281.3394661,-26.8
28:00.3,282.2160915,-17
28:00.4,280.4571111,-20.48
28:00.4,281.4254098,-20.48
28:00.5,281.3394661,-29.1
28:00.5,281.1618492,-12.78
28:00.6,281.8665873,-22.9
28:00.6,281.6889704,-16.14
28:00.7,280.0216632,-16.22
28:00.7,281.5113534,-25.94
28:00.8,281.6889704,-19.93
28:00.8,281.2477929,-19.88
28:00.8,280.8982886,-24.95
28:00.9,281.6889704,-15
28:00.9,280.8123449,-22.34
28:01.0,281.5113534,-22.34
28:01.0,281.6030267,-28.55
28:01.1,281.6030267,-22.02
28:01.1,280.0216632,-13.93
28:01.2,281.6889704,-30.72
28:01.2,281.6030267,-20.48
28:01.3,281.3394661,-21.41
28:01.3,281.1618492,-30.38
28:01.4,280.5487843,-11.12
28:01.4,281.4254098,-25.63
28:01.5,281.5113534,-30.87
28:01.5,280.9842323,-23.5
28:01.6,281.3394661,-17.95
28:01.6,282.0384746,-30.1
28:01.7,281.4254098,-25.25
28:01.7,281.3394661,-21.41
28:01.7,280.634728,-21.41
28:01.8,280.4571111,-12.04
28:01.8,280.9842323,-29.57
28:01.9,281.6889704,-30.1
28:01.9,281.8665873,-24.66
28:02.0,280.8982886,-18.13
28:02.0,281.3394661,-28.62
28:02.1,281.0759055,-24.87
28:02.1,281.774914,-22.75
28:02.2,280.9842323,-27.67
28:02.2,280.9842323,-27.33
28:02.3,281.5113534,-22.41
28:02.3,280.7206717,-22.41
28:02.3,281.3394661,-26.84
28:02.4,281.1618492,-29.35
28:02.4,281.6889704,-26.45
28:02.5,280.8123449,-29.57
28:02.5,281.2477929,-28.98
28:02.6,281.6889704,-26.94
28:02.6,280.8982886,-25.45
28:02.7,281.0759055,-30.03
28:02.7,281.3394661,-23.86
28:02.8,281.3394661,-29.8
28:02.8,281.2477929,-29.86
28:02.9,281.0759055,-27.53
28:02.9,281.6889704,-27.66
28:03.0,281.1618492,-30.95
28:03.0,281.2477929,-28.65
28:03.1,281.4254098,-29.28
28:03.1,281.3394661,-29.28
28:03.2,281.4254098,-26.8
28:03.2,281.0759055,-27.46
28:03.2,281.5113534,-29.57
28:03.3,281.4254098,-30.38
28:03.3,281.8665873,-28.19
28:03.4,280.8123449,-26.72
28:03.4,280.7206717,-31.02
28:03.5,280.5487843,-29.43
28:03.5,280.5487843,-31.33
28:03.6,280.8982886,-32.82
28:03.6,280.634728,-32.82
28:03.7,280.634728,-28.98
28:03.7,280.2852238,-31.42
28:03.8,280.5487843,-31.42
28:03.8,280.2852238,-32.35
28:03.9,280.0216632,-30.23
28:03.9,280.0216632,-30.2
28:04.0,279.5804857,-31.09
28:04.0,279.4028688,-30.53
28:04.0,278.8757476,-29.8
28:04.1,278.4402997,-30.82
28:04.1,277.9074489,-30.72
28:04.2,277.472001,-32.74
28:04.2,276.8532066,-29.64
28:04.3,275.8906375,-31.88
28:04.3,275.0082825,-30.87
28:04.4,274.3952176,-30.87
28:04.4,273.3409753,-32.43
28:04.5,271.7596118,-31.65
28:04.5,270.3501356,-30.49
28:04.6,268.6828284,-30.23
28:04.6,266.923848,-32.19
28:04.6,264.7294196,-32.43
28:04.7,262.1797574,-31.67
28:04.7,258.7477402,-32.43
28:04.8,255.4990695,-33.39
28:04.8,251.7175481,-30.45
28:04.9,246.709897,-30.71
28:04.9,241.5246289,-31.02
28:05.0,235.5486791,-30.45
28:05.0,228.0773095,-30.45
28:05.1,219.7293144,-29.72
